location	part	query	price	full	link
Amazon	CPU	AMD 7950X	9982.6	AMD Ryzen™ 9 7950X Procesador	https://www.amazon.com.mx/AMD-RyzenTM-9-7950X-Procesador/dp/B0BBHD5D8Y/ref=sr_1_1?dib=eyJ2IjoiMSJ9.kqSygJemgeY_xFefuYu1OM_OU90HTwsFmYht6Asc8HxnObdsh_4uzUUW8e-p8zmvOkvROwNElyZ7ExpClcoaVB5PlR3kd2QomOgFz8bbdQ7gu3V9SaBlL1oz4vHO8_SPrhS0aakgpcxcJsZ7bJOhweBpry5-UtMuAp2Rqk3hHoFr9NXMgCUMIjvnQk5vvE8gAdyDhRVDHNYdP-9nV52uhnW8kkMVpdxhpHhysNCeEHYwW1DrPn7iYPse4a3IqVuGMLhOIjBuL9b72i71XlQYQe4w5-wic92tUptFZ2qF_Pw.PSQ1sAGFc2K5DQ6Q8kqZyINdyD5_g5CQsYVKNLahAYQ&dib_tag=se&keywords=AMD+7950X&qid=1715908253&sr=8-1&ufe=app_do%3Aamzn1.fos.d6a47de5-06cb-4416-9abc-48deac71c815
Amazon	CPU	AMD 7950X	11248.11	AMD Ryzen 9 7950X3D Procesador de Escritorio de 16 Nucleos con Graficos Radeon	https://www.amazon.com.mx/AMD-7950X3D-Procesador-Escritorio-Graficos/dp/B0BTRH9MNS/ref=sr_1_2?dib=eyJ2IjoiMSJ9.kqSygJemgeY_xFefuYu1OM_OU90HTwsFmYht6Asc8HxnObdsh_4uzUUW8e-p8zmvOkvROwNElyZ7ExpClcoaVB5PlR3kd2QomOgFz8bbdQ7gu3V9SaBlL1oz4vHO8_SPrhS0aakgpcxcJsZ7bJOhweBpry5-UtMuAp2Rqk3hHoFr9NXMgCUMIjvnQk5vvE8gAdyDhRVDHNYdP-9nV52uhnW8kkMVpdxhpHhysNCeEHYwW1DrPn7iYPse4a3IqVuGMLhOIjBuL9b72i71XlQYQe4w5-wic92tUptFZ2qF_Pw.PSQ1sAGFc2K5DQ6Q8kqZyINdyD5_g5CQsYVKNLahAYQ&dib_tag=se&keywords=AMD+7950X&qid=1715908253&sr=8-2&ufe=app_do%3Aamzn1.fos.4e545b5e-1d45-498b-8193-a253464ffa47
Amazon	CPU	AMD 7950X	6944.0	AMD Ryzen™ 9 7900X Procesador	https://www.amazon.com.mx/AMD-RyzenTM-9-7900X-Procesador/dp/B0BBJ59WJ4/ref=sr_1_3?dib=eyJ2IjoiMSJ9.kqSygJemgeY_xFefuYu1OM_OU90HTwsFmYht6Asc8HxnObdsh_4uzUUW8e-p8zmvOkvROwNElyZ7ExpClcoaVB5PlR3kd2QomOgFz8bbdQ7gu3V9SaBlL1oz4vHO8_SPrhS0aakgpcxcJsZ7bJOhweBpry5-UtMuAp2Rqk3hHoFr9NXMgCUMIjvnQk5vvE8gAdyDhRVDHNYdP-9nV52uhnW8kkMVpdxhpHhysNCeEHYwW1DrPn7iYPse4a3IqVuGMLhOIjBuL9b72i71XlQYQe4w5-wic92tUptFZ2qF_Pw.PSQ1sAGFc2K5DQ6Q8kqZyINdyD5_g5CQsYVKNLahAYQ&dib_tag=se&keywords=AMD+7950X&qid=1715908253&sr=8-3&ufe=app_do%3Aamzn1.fos.4e545b5e-1d45-498b-8193-a253464ffa47
Amazon	CPU	AMD 7950X	7553.48	Amd CPU RYZEN 7 7800X3D Radeon Graphics AM5 (100-100000910WOF)	https://www.amazon.com.mx/AMD-7800X3D-Radeon-Graphics-100-100000910WOF/dp/B0BTZB7F88/ref=sr_1_4?dib=eyJ2IjoiMSJ9.kqSygJemgeY_xFefuYu1OM_OU90HTwsFmYht6Asc8HxnObdsh_4uzUUW8e-p8zmvOkvROwNElyZ7ExpClcoaVB5PlR3kd2QomOgFz8bbdQ7gu3V9SaBlL1oz4vHO8_SPrhS0aakgpcxcJsZ7bJOhweBpry5-UtMuAp2Rqk3hHoFr9NXMgCUMIjvnQk5vvE8gAdyDhRVDHNYdP-9nV52uhnW8kkMVpdxhpHhysNCeEHYwW1DrPn7iYPse4a3IqVuGMLhOIjBuL9b72i71XlQYQe4w5-wic92tUptFZ2qF_Pw.PSQ1sAGFc2K5DQ6Q8kqZyINdyD5_g5CQsYVKNLahAYQ&dib_tag=se&keywords=AMD+7950X&qid=1715908253&sr=8-4&ufe=app_do%3Aamzn1.fos.4e545b5e-1d45-498b-8193-a253464ffa47
Amazon	CPU	AMD 7950X	7943.13	AMD Ryzen 9 7900X3D Procesador de Escritorio de 12 Nucleos con graficos Radeon	https://www.amazon.com.mx/AMD-Ryzen-7900X3D-Procesador-Escritorio/dp/B0BTRRNK7T/ref=sr_1_5?dib=eyJ2IjoiMSJ9.kqSygJemgeY_xFefuYu1OM_OU90HTwsFmYht6Asc8HxnObdsh_4uzUUW8e-p8zmvOkvROwNElyZ7ExpClcoaVB5PlR3kd2QomOgFz8bbdQ7gu3V9SaBlL1oz4vHO8_SPrhS0aakgpcxcJsZ7bJOhweBpry5-UtMuAp2Rqk3hHoFr9NXMgCUMIjvnQk5vvE8gAdyDhRVDHNYdP-9nV52uhnW8kkMVpdxhpHhysNCeEHYwW1DrPn7iYPse4a3IqVuGMLhOIjBuL9b72i71XlQYQe4w5-wic92tUptFZ2qF_Pw.PSQ1sAGFc2K5DQ6Q8kqZyINdyD5_g5CQsYVKNLahAYQ&dib_tag=se&keywords=AMD+7950X&qid=1715908253&sr=8-5&ufe=app_do%3Aamzn1.fos.4e545b5e-1d45-498b-8193-a253464ffa47
Amazon	MB	Tarjeta madre AM5 AMD	4802.55	ASUS ROG Strix B650-A Gaming WiFi 6E AM5 (LGA1718) Ryzen 7000 placa base (12+2 etapas de potencia, DDR5, 3xM.2 ranuras, PCIe® 4.0, 2.5G LAN, WiFi 6E, USB 3.2 Gen 2x2 Type-C®)	https://www.amazon.com.mx/ROG-LGA1718-potencia-ranuras-Type-C%C2%AE/dp/B0BHMW8R6S/ref=sr_1_1?dib=eyJ2IjoiMSJ9.OW58JTxKIQfZjV2-eqZq1isfORFbJ0YdOeohJ1hYvjBvHcfO7ZFWeNqwxuZgHgRvanjD5DgOJBlDTF2kv0Yko1_yTeO79h1rluvGu3Q2ZEf0ATQJBq7FXI91OARKpqV_4uN8YRXFhI1p3ctvnQy6E3bepNTZ9KX5lBPBUeP0eJJbmJo8VIv2apSkcRNH5jQLVC6JpXDN6sA6w4mR3nzWJBm6Gm5Ebk3sV0slowunk8ghtsYX7sm3fAWfh33JidbGOryYF0tuaYcdI8m_3-dzCYylOl7VmiBkEVGBGCqD8zM.0ioe84BUWzGTd7hrKhK2dM5aT5uVgSRpwf99wh4NDQg&dib_tag=se&keywords=Tarjeta+madre+AM5+AMD&qid=1715908266&sr=8-1&ufe=app_do%3Aamzn1.fos.a9e70178-7411-4f75-8d83-e6796a165895
Amazon	MB	Tarjeta madre AM5 AMD	2549.0	MSI Pro B650M-P ProSeries Motherboard (AMD AM5, mATX, DDR5, PCIe 4.0, M.2, SATA 6Gb/s, USB 3.2 Gen 2, HDMI/DP, AMD Ryzen 7000 Series Desktop Processors)	https://www.amazon.com.mx/MSI-B650M-P-ProSeries-Motherboard-Processors/dp/B0C7SJFDXK/ref=sr_1_2?dib=eyJ2IjoiMSJ9.OW58JTxKIQfZjV2-eqZq1isfORFbJ0YdOeohJ1hYvjBvHcfO7ZFWeNqwxuZgHgRvanjD5DgOJBlDTF2kv0Yko1_yTeO79h1rluvGu3Q2ZEf0ATQJBq7FXI91OARKpqV_4uN8YRXFhI1p3ctvnQy6E3bepNTZ9KX5lBPBUeP0eJJbmJo8VIv2apSkcRNH5jQLVC6JpXDN6sA6w4mR3nzWJBm6Gm5Ebk3sV0slowunk8ghtsYX7sm3fAWfh33JidbGOryYF0tuaYcdI8m_3-dzCYylOl7VmiBkEVGBGCqD8zM.0ioe84BUWzGTd7hrKhK2dM5aT5uVgSRpwf99wh4NDQg&dib_tag=se&keywords=Tarjeta+madre+AM5+AMD&qid=1715908266&sr=8-2&ufe=app_do%3Aamzn1.fos.a9e70178-7411-4f75-8d83-e6796a165895
Amazon	MB	Tarjeta madre AM5 AMD	3978.18	GIGABYTE B650M AORUS Elite AX (AM5/ LGA 1718/ AMD B650/ Micro-ATX/ 5 años de garantía/DDR5/ 2* M.2/ PCIe 5.0/ USB 3.2 Gen2X2 Type-C/Intel 2.5GbE LAN/Q-Flash Plus/EZ-Latch/Placa Base para Juegos)	https://www.amazon.com.mx/Gigabyte-B650M-Micro-ATX-garant%C3%ADa-EZ-Latch/dp/B0BH6XND27/ref=sr_1_3?dib=eyJ2IjoiMSJ9.OW58JTxKIQfZjV2-eqZq1isfORFbJ0YdOeohJ1hYvjBvHcfO7ZFWeNqwxuZgHgRvanjD5DgOJBlDTF2kv0Yko1_yTeO79h1rluvGu3Q2ZEf0ATQJBq7FXI91OARKpqV_4uN8YRXFhI1p3ctvnQy6E3bepNTZ9KX5lBPBUeP0eJJbmJo8VIv2apSkcRNH5jQLVC6JpXDN6sA6w4mR3nzWJBm6Gm5Ebk3sV0slowunk8ghtsYX7sm3fAWfh33JidbGOryYF0tuaYcdI8m_3-dzCYylOl7VmiBkEVGBGCqD8zM.0ioe84BUWzGTd7hrKhK2dM5aT5uVgSRpwf99wh4NDQg&dib_tag=se&keywords=Tarjeta+madre+AM5+AMD&qid=1715908266&sr=8-3&ufe=app_do%3Aamzn1.fos.a9e70178-7411-4f75-8d83-e6796a165895
Amazon	MB	Tarjeta madre AM5 AMD	3152.15	MSI PRO B650-S Tarjeta madre WiFi ProSeries (compatible con procesadores AMD Ryzen 7000 Series, AM5, DDR5, PCIe 4.0, ranuras M.2, SATA 6Gb/s, USB 3.2 Gen 2, HDMI/DP, Wi-Fi 6E, LAN de 2.5Gbps, ATX)	https://www.amazon.com.mx/MSI-Tarjeta-ProSeries-compatible-procesadores/dp/B0CQHS7PLL/ref=sr_1_4?dib=eyJ2IjoiMSJ9.OW58JTxKIQfZjV2-eqZq1isfORFbJ0YdOeohJ1hYvjBvHcfO7ZFWeNqwxuZgHgRvanjD5DgOJBlDTF2kv0Yko1_yTeO79h1rluvGu3Q2ZEf0ATQJBq7FXI91OARKpqV_4uN8YRXFhI1p3ctvnQy6E3bepNTZ9KX5lBPBUeP0eJJbmJo8VIv2apSkcRNH5jQLVC6JpXDN6sA6w4mR3nzWJBm6Gm5Ebk3sV0slowunk8ghtsYX7sm3fAWfh33JidbGOryYF0tuaYcdI8m_3-dzCYylOl7VmiBkEVGBGCqD8zM.0ioe84BUWzGTd7hrKhK2dM5aT5uVgSRpwf99wh4NDQg&dib_tag=se&keywords=Tarjeta+madre+AM5+AMD&qid=1715908266&sr=8-4&ufe=app_do%3Aamzn1.fos.a9e70178-7411-4f75-8d83-e6796a165895
Amazon	MB	Tarjeta madre AM5 AMD	4271.85	Gigabyte B650 AORUS Elite AX V2 (AM5/ LGA 1718/ AMD/ B650/ ATX/ 5 años de garantía/DDR5/ Triple M.2/ PCIe 5.0/ USB 3.2 Gen2X2 Type-C/WiFi 6E/ 2.5GbE LAN/Q-Flash Plus/EZ-Latch/Placa Madre)	https://www.amazon.com.mx/Gigabyte-B650-AORUS-AX-V2/dp/B0CMK1W2YX/ref=sr_1_5?dib=eyJ2IjoiMSJ9.OW58JTxKIQfZjV2-eqZq1isfORFbJ0YdOeohJ1hYvjBvHcfO7ZFWeNqwxuZgHgRvanjD5DgOJBlDTF2kv0Yko1_yTeO79h1rluvGu3Q2ZEf0ATQJBq7FXI91OARKpqV_4uN8YRXFhI1p3ctvnQy6E3bepNTZ9KX5lBPBUeP0eJJbmJo8VIv2apSkcRNH5jQLVC6JpXDN6sA6w4mR3nzWJBm6Gm5Ebk3sV0slowunk8ghtsYX7sm3fAWfh33JidbGOryYF0tuaYcdI8m_3-dzCYylOl7VmiBkEVGBGCqD8zM.0ioe84BUWzGTd7hrKhK2dM5aT5uVgSRpwf99wh4NDQg&dib_tag=se&keywords=Tarjeta+madre+AM5+AMD&qid=1715908266&sr=8-5&ufe=app_do%3Aamzn1.fos.a9e70178-7411-4f75-8d83-e6796a165895
